Pathway Id	Description	pvalue		
PURINE RIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009154	NA	0.4666544622629496
AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 55%352230	NA	0.46568265252110236
REGULATION OF GENE SILENCING%GOBP%GO:0060968	NA	0.46329686269167136
REGULATION OF CELL AGING%GOBP%GO:0090342	NA	0.4568864114022256
MACROPHAGE DIFFERENTIATION%GOBP%GO:0030225	NA	0.45519718074090004
NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001240	NA	0.4538339086052209
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:1901099	NA	0.4538339086052209
ACTIVATION OF PROTEIN KINASE A ACTIVITY%GOBP%GO:0034199	NA	0.44912743024139357
G2 DNA DAMAGE CHECKPOINT%GOBP%GO:0031572	NA	0.4467892308970876
REGULATION OF PROTEIN HOMOOLIGOMERIZATION%GOBP%GO:0032462	NA	0.4449683412641912
NEGATIVE REGULATION OF CARTILAGE DEVELOPMENT%GOBP%GO:0061037	NA	0.443184101316436
SIGNALING BY ACTIVIN%REACTOME DATABASE ID RELEASE 55%1502540	NA	0.4422745520520289
BMAL1:CLOCK,NPAS2 ACTIVATES CIRCADIAN GENE EXPRESSION%REACTOME%R-HSA-1368108.1	NA	0.4422103572092494
POSITIVE REGULATION OF PROTEIN EXPORT FROM NUCLEUS%GOBP%GO:0046827	NA	0.4345318557807646
MYOBLAST DIFFERENTIATION%GOBP%GO:0045445	NA	0.43410112102092835
NEGATIVE REGULATION OF CYTOKINE BIOSYNTHETIC PROCESS%GOBP%GO:0042036	NA	0.428320072302713
RIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009261	NA	0.4224060965721823
DSRNA FRAGMENTATION%GOBP%GO:0031050	NA	0.4215013282292879
PRODUCTION OF SMALL RNA INVOLVED IN GENE SILENCING BY RNA%GOBP%GO:0070918	NA	0.4215013282292879
NEGATIVE REGULATION OF CHONDROCYTE DIFFERENTIATION%GOBP%GO:0032331	NA	0.4182922860390256
SIGNALING EVENTS MEDIATED BY HDAC CLASS II%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS II	NA	0.41763113407856944
SA_REG_CASCADE_OF_CYCLIN_EXPR%MSIGDB_C2%SA_REG_CASCADE_OF_CYCLIN_EXPR	NA	0.4155566071557176
REGULATION OF PROTEIN EXPORT FROM NUCLEUS%GOBP%GO:0046825	NA	0.41503976507947427
POSITIVE REGULATION OF OXIDOREDUCTASE ACTIVITY%GOBP%GO:0051353	NA	0.4149440843140708
BIOCARTA_DNAFRAGMENT_PATHWAY%MSIGDB_C2%BIOCARTA_DNAFRAGMENT_PATHWAY	NA	0.40939905664426607
ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032924	NA	0.405138086268942
REGULATION OF CHONDROCYTE DIFFERENTIATION%GOBP%GO:0032330	NA	0.40341046260117414
POSITIVE REGULATION OF REPRODUCTIVE PROCESS%GOBP%GO:2000243	NA	0.40258072841547426
REGULATION OF EXECUTION PHASE OF APOPTOSIS%GOBP%GO:1900117	NA	0.39399882652848184
PKA ACTIVATION IN GLUCAGON SIGNALLING%REACTOME%R-HSA-164378.1	NA	0.3939458693097021
CHROMOSOME SEPARATION%GOBP%GO:0051304	NA	0.39197628884980534
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001239	NA	0.3900987483276522
POSITIVE REGULATION OF GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0010560	NA	0.38878049384729924
SIGNALING EVENTS MEDIATED BY THE HEDGEHOG FAMILY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY THE HEDGEHOG FAMILY	NA	0.38547422199438097
REGULATION OF CARTILAGE DEVELOPMENT%GOBP%GO:0061035	NA	0.38162768489588966
EXTENSION OF TELOMERES%REACTOME DATABASE ID RELEASE 55%180786	NA	0.3815968815320681
CASP8 ACTIVITY IS INHIBITED%REACTOME DATABASE ID RELEASE 55%5218900	NA	0.3788611765466653
REGULATION BY C-FLIP%REACTOME%R-HSA-3371378.1	NA	0.3788611765466653
DIMERIZATION OF PROCASPASE-8%REACTOME DATABASE ID RELEASE 55%69416	NA	0.3788611765466653
BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	NA	0.37570000808200443
BIOCARTA_MTA3_PATHWAY%MSIGDB_C2%BIOCARTA_MTA3_PATHWAY	NA	0.37491583324221545
CELLULAR RESPONSE TO ESTROGEN STIMULUS%GOBP%GO:0071391	NA	0.37393810965867885
CAMP-MEDIATED SIGNALING%GOBP%GO:0019933	NA	0.37382077418758564
BIOCARTA_HER2_PATHWAY%MSIGDB_C2%BIOCARTA_HER2_PATHWAY	NA	0.37171284014846767
RAP PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0032486	NA	0.37141265150781383
RESPONSE TO ESTRADIOL%GOBP%GO:0032355	NA	0.36729755353740895
TISSUE REGENERATION%GOBP%GO:0042246	NA	0.3670437533574643
POSITIVE REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901798	NA	0.3661486366083793
REGULATION OF CELL COMMUNICATION BY ELECTRICAL COUPLING%GOBP%GO:0010649	NA	0.3653788159050567
TNFR1-INDUCED PROAPOPTOTIC SIGNALING%REACTOME%R-HSA-5357786.2	NA	0.3648620173571
NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY%REACTOME%R-HSA-383280.1	NA	0.3619437630256576
BIOCARTA_RARRXR_PATHWAY%MSIGDB_C2%BIOCARTA_RARRXR_PATHWAY	NA	0.36135964529926473
NEGATIVE REGULATION OF BLOOD CIRCULATION%GOBP%GO:1903523	NA	0.35779784036634454
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM%GOBP%GO:0010880	NA	0.3572219635885295
PLCG1 EVENTS IN ERBB2 SIGNALING%REACTOME DATABASE ID RELEASE 55%1251932	NA	0.3564072529046298
CAMP BIOSYNTHETIC PROCESS%GOBP%GO:0006171	NA	0.353102218434696
PROTEIN KINASE C SIGNALING%GOBP%GO:0070528	NA	0.3517107884415574
ACROSOME REACTION%GOBP%GO:0007340	NA	0.3515461827190533
MITOTIC G2/M TRANSITION CHECKPOINT%GOBP%GO:0044818	NA	0.35121049769872276
REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0050999	NA	0.349566769810324
CELLULAR RESPONSE TO GAMMA RADIATION%GOBP%GO:0071480	NA	0.3491869209146481
SOMATIC STEM CELL DIVISION%GOBP%GO:0048103	NA	0.34735063819954404
EGFR INTERACTS WITH PHOSPHOLIPASE C-GAMMA%REACTOME DATABASE ID RELEASE 55%212718	NA	0.3468121791528906
PEPTIDE HORMONE BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 55%209952	NA	0.3444000148412349
DNA DEALKYLATION%GOBP%GO:0035510	NA	0.3433946905721034
P38MAPK EVENTS%REACTOME DATABASE ID RELEASE 55%171007	NA	0.34332881475587085
REGULATION OF CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086004	NA	0.3427255906752759
BIOCARTA_FAS_PATHWAY%MSIGDB_C2%BIOCARTA_FAS_PATHWAY	NA	0.3427214242841965
BIOCARTA_P53_PATHWAY%MSIGDB_C2%BIOCARTA_P53_PATHWAY	NA	0.34226479631526996
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097296	NA	0.3407680716564698
PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	NA	0.34012284633900214
PROTEIN IMPORT INTO PEROXISOME MATRIX%GOBP%GO:0016558	NA	0.34005528545629327
NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME%R-HSA-5693571.1	NA	0.3388337117180924
POSITIVE REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032743	NA	0.3341401018085542
BIOCARTA_SET_PATHWAY%MSIGDB_C2%BIOCARTA_SET_PATHWAY	NA	0.3330766397578618
POSITIVE REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010971	NA	0.33197492369297577
CYCLIC NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009187	NA	0.32953475520636166
OVARIAN FOLLICLE DEVELOPMENT%GOBP%GO:0001541	NA	0.32794408713446693
CELLULAR RESPONSE TO EXOGENOUS DSRNA%GOBP%GO:0071360	NA	0.32611740286192675
PHOSPHOLIPASE C-MEDIATED CASCADE: FGFR1%REACTOME%R-HSA-5654219.1	NA	0.32598134599671896
BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY	NA	0.32563859275517865
CELLULAR RESPONSE TO DSRNA%GOBP%GO:0071359	NA	0.3248275576406509
DAG AND IP3 SIGNALING%REACTOME DATABASE ID RELEASE 55%1489509	NA	0.32427450122926
CELL AGING%GOBP%GO:0007569	NA	0.3211734064917404
NUCLEAR SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 55%1251985	NA	0.31677546858437283
NEGATIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0046676	NA	0.31439425960091344
BIOCARTA_DEATH_PATHWAY%MSIGDB_C2%BIOCARTA_DEATH_PATHWAY	NA	0.3138157993126134
APOPTOTIC DNA FRAGMENTATION%GOBP%GO:0006309	NA	0.3117494436499009
POSITIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS%GOBP%GO:1904407	NA	0.3101544089517287
POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS%GOBP%GO:0045429	NA	0.3101544089517287
PKA ACTIVATION%REACTOME DATABASE ID RELEASE 55%163615	NA	0.30956890909882456
REGULATION OF MYOBLAST FUSION%GOBP%GO:1901739	NA	0.30761765294084187
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	NA	0.30604725425680124
GLYCOPROTEIN HORMONES%REACTOME DATABASE ID RELEASE 55%209822	NA	0.30559834784341045
CYCLIC-NUCLEOTIDE-MEDIATED SIGNALING%GOBP%GO:0019935	NA	0.3051721280728741
PLC-GAMMA1 SIGNALLING%REACTOME DATABASE ID RELEASE 55%167021	NA	0.30449186929194494
POSITIVE REGULATION OF GLYCOPROTEIN METABOLIC PROCESS%GOBP%GO:1903020	NA	0.30267047921801044
BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY	NA	0.30230088853448744
CIRCADIAN CLOCK%REACTOME%R-HSA-400253.1	NA	0.3021316129717839
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR3%REACTOME%R-HSA-5654227.1	NA	0.29994040551417706
PKA-MEDIATED PHOSPHORYLATION OF CREB%REACTOME DATABASE ID RELEASE 55%111931	NA	0.29891713206436016
OVULATION CYCLE PROCESS%GOBP%GO:0022602	NA	0.2979853961572658
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	NA	0.29675821201445424
SIGNALING MEDIATED BY P38-ALPHA AND P38-BETA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING MEDIATED BY P38-ALPHA AND P38-BETA	NA	0.29650790223267826
RECRUITMENT AND ATM-MEDIATED PHOSPHORYLATION OF REPAIR AND SIGNALING PROTEINS AT DNA DOUBLE STRAND BREAKS%REACTOME%R-HSA-5693565.1	NA	0.2963736653476866
REGULATION OF MACROPHAGE DIFFERENTIATION%GOBP%GO:0045649	NA	0.29620286007922
POSITIVE REGULATION OF DNA REPAIR%GOBP%GO:0045739	NA	0.2942521857782414
UNTITLED%PANTHER PATHWAY%P00019	NA	0.29389954252428596
BIOCARTA_SODD_PATHWAY%MSIGDB_C2%BIOCARTA_SODD_PATHWAY	NA	0.2915954474219296
FORMATION OF THE BETA-CATENIN:TCF TRANSACTIVATING COMPLEX%REACTOME%R-HSA-201722.2	NA	0.2901076421031009
POSITIVE REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050857	NA	0.2891761772063986
ADHERENS JUNCTION ORGANIZATION%GOBP%GO:0034332	NA	0.2880135463688454
RESOLUTION OF D-LOOP STRUCTURES THROUGH SYNTHESIS-DEPENDENT STRAND ANNEALING (SDSA)%REACTOME DATABASE ID RELEASE 55%5693554	NA	0.28732062132643693
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	NA	0.2871562113052367
DNA DOUBLE STRAND BREAK RESPONSE%REACTOME DATABASE ID RELEASE 55%5693606	NA	0.28686234647625597
ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:0031532	NA	0.2858238773981332
ACTIVATION OF NMDA RECEPTOR UPON GLUTAMATE BINDING AND POSTSYNAPTIC EVENTS%REACTOME DATABASE ID RELEASE 55%442755	NA	0.2851099116180403
YAP1- AND WWTR1 (TAZ)-STIMULATED GENE EXPRESSION%REACTOME DATABASE ID RELEASE 55%2032785	NA	0.2842251406837806
DEVELOPMENT OF PRIMARY FEMALE SEXUAL CHARACTERISTICS%GOBP%GO:0046545	NA	0.28324313250316024
FEMALE GONAD DEVELOPMENT%GOBP%GO:0008585	NA	0.28324313250316024
BIOCARTA_CASPASE_PATHWAY%MSIGDB_C2%BIOCARTA_CASPASE_PATHWAY	NA	0.2817984642188343
NEGATIVE REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090278	NA	0.28132851520267577
TRAIL SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRAIL SIGNALING PATHWAY	NA	0.2795235731913264
DNA DEMETHYLATION%GOBP%GO:0080111	NA	0.2793641405132133
CA-DEPENDENT EVENTS%REACTOME%R-HSA-111996.1	NA	0.27907181136261666
G-PROTEIN MEDIATED EVENTS%REACTOME DATABASE ID RELEASE 55%112040	NA	0.2790584054196231
NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869	NA	0.2782284901974718
CELLULAR RESPONSE TO MONOAMINE STIMULUS%GOBP%GO:0071868	NA	0.27563059676506313
RESPONSE TO CATECHOLAMINE%GOBP%GO:0071869	NA	0.27563059676506313
CELLULAR RESPONSE TO CATECHOLAMINE STIMULUS%GOBP%GO:0071870	NA	0.27563059676506313
RESPONSE TO MONOAMINE%GOBP%GO:0071867	NA	0.27563059676506313
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001269	NA	0.2735321466745285
NEGATIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0090005	NA	0.27067484545156095
TRIF-MEDIATED PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 55%2562578	NA	0.2699172597962901
POST NMDA RECEPTOR ACTIVATION EVENTS%REACTOME DATABASE ID RELEASE 55%438064	NA	0.2693557689121575
SMOOTH MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051145	NA	0.26861516735856383
MICROTUBULE ANCHORING%GOBP%GO:0034453	NA	0.26857710206249746
CELL RECOGNITION%GOBP%GO:0008037	NA	0.2677380077385397
G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.2	NA	0.2665747778300617
ADENYLATE CYCLASE-INHIBITING G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007193	NA	0.2633198972607355
NEGATIVE REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010832	NA	0.2628256817201386
PLC BETA MEDIATED EVENTS%REACTOME%R-HSA-112043.1	NA	0.26249925736816626
ADENYLATE CYCLASE-ACTIVATING ADRENERGIC RECEPTOR SIGNALING PATHWAY%GOBP%GO:0071880	NA	0.26226897620432743
ADRENERGIC RECEPTOR SIGNALING PATHWAY%GOBP%GO:0071875	NA	0.26226897620432743
INTRACELLULAR STEROID HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030518	NA	0.2621701286635509
CAM PATHWAY%REACTOME%R-HSA-111997.1	NA	0.2620640829081614
CALMODULIN INDUCED EVENTS%REACTOME%R-HSA-111933.1	NA	0.2620640829081614
POSITIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS%GOBP%GO:1903428	NA	0.2618581048900706
IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701	NA	0.2612349337526473
INSULIN IGF PATHWAY-PROTEIN KINASE B SIGNALING CASCADE%PANTHER PATHWAY%P00033	NA	0.2603448614787625
DOUBLE-STRAND BREAK REPAIR VIA SYNTHESIS-DEPENDENT STRAND ANNEALING%GOBP%GO:0045003	NA	0.2593526693808932
CELL CYCLE%PANTHER PATHWAY%P00013	NA	0.25871457823383576
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR2%REACTOME%R-HSA-5654221.1	NA	0.2577371855846566
REGULATION OF HORMONE METABOLIC PROCESS%GOBP%GO:0032350	NA	0.25621968034733544
OVULATION CYCLE%GOBP%GO:0042698	NA	0.2557814030164604
AMINO ACID AND OLIGOPEPTIDE SLC TRANSPORTERS%REACTOME%R-HSA-425374.1	NA	0.25577489479014015
CELLULAR RESPONSE TO ALCOHOL%GOBP%GO:0097306	NA	0.25573299271473915
TELOMERE MAINTENANCE%REACTOME DATABASE ID RELEASE 55%157579	NA	0.25489737310084165
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR4%REACTOME DATABASE ID RELEASE 55%5654228	NA	0.25002891067030314
REGULATION OF ENDOCRINE PROCESS%GOBP%GO:0044060	NA	0.2498084107453344
REGULATION OF MONOOXYGENASE ACTIVITY%GOBP%GO:0032768	NA	0.24966841185602823
NEGATIVE REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051154	NA	0.2458077932062606
NEGATIVE REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002792	NA	0.24570997938971764
NEGATIVE REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010972	NA	0.2455050734498109
POSTTRANSCRIPTIONAL GENE SILENCING BY RNA%GOBP%GO:0035194	NA	0.24531327218570187
REPRESSION OF WNT TARGET GENES%REACTOME DATABASE ID RELEASE 55%4641265	NA	0.24519416941936725
POSITIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902751	NA	0.24515167606357427
N-CADHERIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%N-CADHERIN SIGNALING EVENTS	NA	0.24499842866389934
ADENYLATE CYCLASE-ACTIVATING G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007189	NA	0.24495476197476768
POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0016441	NA	0.24316473844724015
NF-KB ACTIVATION THROUGH FADD RIP-1 PATHWAY MEDIATED BY CASPASE-8 AND -10%REACTOME%R-HSA-933543.1	NA	0.24029331037396903
REGULATION OF INTERLEUKIN-5 PRODUCTION%GOBP%GO:0032674	NA	0.2400794554106008
FEMALE SEX DIFFERENTIATION%GOBP%GO:0046660	NA	0.23880382538797118
STEM CELL DIVISION%GOBP%GO:0017145	NA	0.23835540893450344
FLUID TRANSPORT%GOBP%GO:0042044	NA	0.23822653695618307
LIGAND-DEPENDENT CASPASE ACTIVATION%REACTOME%R-HSA-140534.1	NA	0.23728078527647
BIOCARTA_RB_PATHWAY%MSIGDB_C2%BIOCARTA_RB_PATHWAY	NA	0.23723756018935263
DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING%GOBP%GO:0006303	NA	0.2367275452124312
REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0060211	NA	0.23612180344355158
POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING%GOBP%GO:0060213	NA	0.23612180344355158
LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	NA	0.23601732022519709
ANDROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030521	NA	0.23576113694776515
AXON GUIDANCE MEDIATED BY NETRIN%PANTHER PATHWAY%P00009	NA	0.23498869776001702
WATER TRANSPORT%GOBP%GO:0006833	NA	0.2337831246585375
TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING%GOBP%GO:0010833	NA	0.23284014924784585
REGULATION OF THYMOCYTE AGGREGATION%GOBP%GO:2000398	NA	0.2323178396907926
REGULATION OF T CELL DIFFERENTIATION IN THYMUS%GOBP%GO:0033081	NA	0.2323178396907926
CIRCADIAN REGULATION OF GENE EXPRESSION%GOBP%GO:0032922	NA	0.23195702633058193
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	NA	0.23186654185598235
ENDOGENOUS STEROLS%REACTOME DATABASE ID RELEASE 55%211976	NA	0.2292105508302035
PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING	NA	0.22741023834204852
PROTEIN LOCALIZATION TO CHROMOSOME%GOBP%GO:0034502	NA	0.22645871215035152
REGULATION OF NUCLEAR BETA CATENIN SIGNALING AND TARGET GENE TRANSCRIPTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR BETA CATENIN SIGNALING AND TARGET GENE TRANSCRIPTION	NA	0.22552332870819186
PHOTOPERIODISM%GOBP%GO:0009648	NA	0.22488439910821953
POSITIVE REGULATION OF RESPONSE TO DNA DAMAGE STIMULUS%GOBP%GO:2001022	NA	0.22413350565304507
BIOCARTA_MITOCHONDRIA_PATHWAY%MSIGDB_C2%BIOCARTA_MITOCHONDRIA_PATHWAY	NA	0.22319376676240776
HISTONE MRNA CATABOLIC PROCESS%GOBP%GO:0071044	NA	0.22217008453459142
REGULATION OF NECROPTOTIC CELL DEATH%REACTOME%R-HSA-5675482.1	NA	0.2220040563250282
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:1903077	NA	0.22089488601023197
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1904376	NA	0.22089488601023197
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010389	NA	0.22063884220039096
SPERM MOTILITY%GOBP%GO:0030317	NA	0.21965628520268093
REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION%GOBP%GO:0060142	NA	0.21959301570610396
E2F-ENABLED INHIBITION OF PRE-REPLICATION COMPLEX FORMATION%REACTOME%R-HSA-113507.1	NA	0.21848404543419173
SA_G1_AND_S_PHASES%MSIGDB_C2%SA_G1_AND_S_PHASES	NA	0.21641898830488454
POSITIVE REGULATION OF PROTEIN BINDING%GOBP%GO:0032092	NA	0.2161318959144965
REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:1900274	NA	0.21548901828514772
NON-RECOMBINATIONAL REPAIR%GOBP%GO:0000726	NA	0.21465523511608783
NA+ CL- DEPENDENT NEUROTRANSMITTER TRANSPORTERS%REACTOME DATABASE ID RELEASE 55%442660	NA	0.2146253426839874
